requested_time_since_log_start_s,elapsed_since_image_range_valid_s,actual_sample_time_s,sample_offset_ms,image_distance_m,laser_distance_m,fused_distance_m,image_range_valid,fused_range_valid,laser_fusion_used,image_closing_speed_m_s,fused_closing_speed_m_s,target_locked
31.914,5.600,31.914,-0.003,26.9644,,,1,0,0,,,1
32.014,5.700,32.009,-4.931,26.9644,,,1,0,0,,,1
32.114,5.800,32.109,-4.954,27.4662,,,1,0,0,,,1
32.214,5.900,32.214,0.013,27.4662,,,1,0,0,,,1
32.314,6.000,32.309,-4.966,26.9644,,26.9644,1,1,0,0.2864,0.2864,1
32.414,6.100,32.414,0.043,27.9866,,,1,0,0,,,1
32.514,6.200,32.514,-0.002,27.9866,,,1,0,0,,,1
32.614,6.300,32.614,0.022,27.9866,,,1,0,0,,,1
32.714,6.400,32.709,-4.940,28.5267,,,1,0,0,,,1
32.814,6.500,32.809,-4.910,29.0875,,,1,0,0,,,1
32.914,6.600,32.914,0.121,28.5267,,,1,0,0,,,1
33.014,6.700,33.009,-4.967,27.4662,,27.4662,1,1,0,7.0157,7.0157,1
33.114,6.800,33.114,-0.004,26.9644,,26.9644,1,1,0,8.5016,8.5016,1
33.214,6.900,33.209,-4.985,26.4802,,26.4802,1,1,0,4.8538,4.8538,1
33.314,7.000,33.314,0.026,26.9644,,26.9644,1,1,0,1.5839,1.5839,1
33.414,7.100,33.409,-4.928,26.9644,,,1,0,0,,,1
33.514,7.200,33.509,-4.925,27.4662,,,1,0,0,,,1
33.614,7.300,33.614,0.039,27.9866,,,1,0,0,,,1
33.714,7.400,33.709,-4.968,27.9866,,,1,0,0,,,1
33.814,7.500,33.814,0.039,27.9866,9.6309,9.6309,1,1,1,0.3996,0.3996,1
33.914,7.600,33.909,-4.981,28.5267,,,1,0,0,,,1
34.014,7.700,34.014,0.032,28.5267,,,1,0,0,,,1
34.114,7.800,34.109,-4.964,29.0875,,,1,0,0,,,1
34.214,7.900,34.209,-4.986,29.0875,,,1,0,0,,,1
34.314,8.000,34.314,-0.003,29.0875,,,1,0,0,,,1
34.414,8.100,34.409,-5.003,28.5267,9.5789,9.5789,1,1,1,0.6512,0.0673,1
34.514,8.200,34.514,0.025,28.5267,9.5719,9.5719,1,1,1,2.3035,0.0751,1
34.614,8.300,34.609,-4.887,28.5267,,9.5749,1,1,0,1.0640,0.4468,1
34.714,8.400,34.714,0.056,27.9866,9.5590,9.5590,1,1,1,2.6351,1.1066,1
34.814,8.500,34.809,-4.827,27.9866,9.5710,9.5710,1,1,1,3.2534,1.3662,1
34.914,8.600,34.909,-4.952,27.4662,9.5680,9.5680,1,1,1,2.8318,1.1892,1
35.014,8.700,35.014,0.018,26.9644,,9.4004,1,1,0,4.7855,2.0096,1
35.114,8.800,35.109,-4.969,27.4662,,9.5754,1,1,0,1.0981,0.4611,1
35.214,8.900,35.214,0.033,27.9866,,,1,0,0,,,1
35.314,9.000,35.309,-4.988,27.4662,,,1,0,0,,,1
35.414,9.100,35.414,0.013,27.4662,,9.5754,1,1,0,1.1720,0.4922,1
35.514,9.200,35.509,-4.963,26.4802,,9.2316,1,1,0,3.6871,1.5483,1
35.614,9.300,35.609,-5.002,26.4802,,9.2316,1,1,0,7.3287,3.0775,1
35.714,9.400,35.714,-0.005,27.9866,,,1,0,0,,,1
35.814,9.500,35.809,-4.961,27.9866,,,1,0,0,,,1
35.914,9.600,35.914,0.000,27.9866,,,1,0,0,,,1
36.014,9.700,36.009,-4.968,27.4662,,9.5754,1,1,0,1.1963,0.5024,1
36.114,9.800,36.114,0.002,26.9644,,9.4004,1,1,0,4.3263,1.8168,1
36.214,9.900,36.209,-4.999,27.4662,,9.5754,1,1,0,1.0812,0.4540,1
36.314,10.000,36.309,-4.982,27.4662,,,1,0,0,,,1
36.414,10.100,36.414,0.035,26.9644,,9.4004,1,1,0,2.6439,1.1102,1
36.514,10.200,36.509,-4.888,26.4802,,9.2316,1,1,0,4.7668,2.0017,1
36.614,10.300,36.614,0.136,25.5610,,8.9112,1,1,0,5.6578,2.3759,1
36.714,10.400,36.709,-4.954,25.1244,,8.7590,1,1,0,6.3748,2.6770,1
36.814,10.500,36.814,0.051,25.1244,,8.7590,1,1,0,3.9207,1.6464,1
36.914,10.600,36.909,-4.986,24.7021,,8.6117,1,1,0,2.6423,1.1096,1
37.014,10.700,37.009,-4.987,24.7021,,8.6117,1,1,0,1.5509,0.6513,1
37.114,10.800,37.114,0.010,24.7021,,8.6117,1,1,0,0.9220,0.3872,1
37.214,10.900,37.209,-4.948,25.1244,,,1,0,0,,,1
37.314,11.000,37.314,-0.004,25.1244,,,1,0,0,,,1
37.414,11.100,37.409,-4.967,25.5610,,,1,0,0,,,1
37.514,11.200,37.514,-0.004,25.5610,,,1,0,0,,,1
37.614,11.300,37.609,-4.986,26.0127,,,1,0,0,,,1
37.714,11.400,37.709,-4.987,26.0127,,,1,0,0,,,1
37.814,11.500,37.814,0.015,25.5610,,,1,0,0,,,1
37.914,11.600,37.909,-4.981,25.5610,,8.9112,1,1,0,2.6122,1.0969,1
38.014,11.700,38.014,0.032,25.5610,,8.9112,1,1,0,1.3975,0.5869,1
38.114,11.800,38.109,-4.961,25.5610,,,1,0,0,,,1
38.214,11.900,38.214,0.035,25.1244,,8.7590,1,1,0,2.2041,0.9256,1
38.314,12.000,38.309,-4.874,25.1244,,8.7590,1,1,0,2.2033,0.9252,1
38.414,12.100,38.409,-4.890,25.1244,,8.7590,1,1,0,0.0002,0.0001,1
38.514,12.200,38.509,-4.830,24.7021,,8.6117,1,1,0,2.1360,0.8970,1
38.614,12.300,38.609,-4.960,24.7021,,8.6117,1,1,0,2.1295,0.8942,1
38.714,12.400,38.714,-0.002,24.7021,,8.6117,1,1,0,0.0002,0.0001,1
38.814,12.500,38.809,-5.002,24.7021,,8.6117,1,1,0,0.0002,0.0001,1
38.914,12.600,38.914,-0.004,24.7021,,8.6117,1,1,0,0.0001,0.0000,1
39.014,12.700,39.009,-4.963,25.1244,,,1,0,0,,,1
39.114,12.800,39.109,-4.985,25.1244,,,1,0,0,,,1
39.214,12.900,39.214,-0.002,25.1244,,8.7590,1,1,0,0.4780,0.2007,1
39.314,13.000,39.309,-4.965,25.1244,,8.7590,1,1,0,0.0001,0.0001,1
39.414,13.100,39.414,0.033,24.7021,,8.6117,1,1,0,0.8472,0.3558,1
39.514,13.200,39.509,-4.955,24.7021,,8.6117,1,1,0,2.4733,1.0386,1
39.614,13.300,39.614,0.015,25.1244,,,1,0,0,,,1
39.714,13.400,39.709,-4.985,25.5610,,,1,0,0,,,1
39.814,13.500,39.809,-4.967,25.5610,,,1,0,0,,,1
39.914,13.600,39.914,-0.003,25.1244,7.9304,7.9304,1,1,1,1.0860,1.2255,1
40.014,13.700,40.009,-4.965,25.1244,7.9153,7.9153,1,1,1,2.1984,0.9617,1
40.114,13.800,40.114,-0.002,25.1244,7.8904,7.8904,1,1,1,0.0002,0.7360,1
40.214,13.900,40.209,-4.904,25.1244,,7.8931,1,1,0,0.0001,0.0001,1
40.314,14.000,40.314,0.089,24.7021,,7.7604,1,1,0,2.3163,2.8017,1
40.414,14.100,40.409,-4.974,25.1244,,,1,0,0,,,1
40.514,14.200,40.509,-4.962,24.7021,,,1,0,0,,,1
40.614,14.300,40.614,0.021,24.7021,7.8380,7.8380,1,1,1,2.3183,2.8041,1
40.714,14.400,40.709,-4.960,24.7021,7.8480,7.8480,1,1,1,0.0001,0.0002,1
40.814,14.500,40.814,0.047,24.7021,7.8520,7.8520,1,1,1,0.0000,0.0001,1
40.914,14.600,40.909,-4.972,24.7021,7.8540,7.8540,1,1,1,0.0001,0.0002,1
41.014,14.700,41.014,0.018,24.7021,7.8490,7.8490,1,1,1,0.0000,0.0001,1
41.114,14.800,41.109,-4.981,24.7021,7.8480,7.8480,1,1,1,0.0000,0.0001,1
41.214,14.900,41.209,-4.985,24.7021,7.8270,7.8270,1,1,1,0.0001,0.0252,1
41.314,15.000,41.314,-0.004,24.7021,7.7939,7.7939,1,1,1,0.0001,0.1225,1
41.414,15.100,41.409,-4.980,24.7021,7.7508,7.7508,1,1,1,0.0001,0.2092,1
41.514,15.200,41.514,-0.003,24.7021,7.6958,7.6958,1,1,1,0.0001,0.2895,1
41.614,15.300,41.609,-4.984,24.7021,7.6588,7.6588,1,1,1,-0.0000,0.3086,1
41.714,15.400,41.714,-0.002,24.2934,7.6107,7.6107,1,1,1,2.3112,0.3632,1
41.814,15.500,41.809,-4.986,24.2934,7.5617,7.5617,1,1,1,1.6372,0.4039,1
41.914,15.600,41.909,-4.967,23.8977,7.5077,7.5077,1,1,1,1.0168,0.4411,1
42.014,15.700,42.009,-4.917,23.1429,7.4536,7.4536,1,1,1,4.6404,0.4633,1
42.114,15.800,42.109,-4.872,22.7826,7.4066,7.4066,1,1,1,5.6141,0.4752,1
42.214,15.900,42.214,0.130,22.7826,7.3586,7.3586,1,1,1,3.0644,0.4685,1
42.314,16.000,42.309,-4.950,23.1429,,,1,0,0,,,1
42.414,16.100,42.414,0.046,23.5144,,,1,0,0,,,1
42.514,16.200,42.509,-4.967,23.5144,,,1,0,0,,,1
42.614,16.300,42.609,-5.002,23.5144,,,1,0,0,,,1
42.714,16.400,42.714,0.004,23.1429,7.1647,7.1647,1,1,1,2.1086,0.3934,1
42.814,16.500,42.809,-4.966,22.7826,7.1217,7.1217,1,1,1,2.1635,0.4126,1
42.914,16.600,42.914,-0.002,22.7826,7.0627,7.0627,1,1,1,2.1121,0.4596,1
43.014,16.700,43.009,-4.983,22.4331,7.0066,7.0066,1,1,1,1.4047,0.4942,1
43.114,16.800,43.114,0.002,22.4331,6.9586,6.9586,1,1,1,2.0459,0.4827,1
43.214,16.900,43.209,-4.980,22.0938,6.9176,6.9176,1,1,1,2.1309,0.4682,1
43.314,17.000,43.309,-4.953,22.4331,6.8716,6.8716,1,1,1,1.2852,0.4685,1
43.414,17.100,43.414,0.015,22.0938,6.8247,6.8247,1,1,1,0.1174,0.4581,1
43.514,17.200,43.509,-4.967,22.0938,6.7867,6.7867,1,1,1,0.6259,0.4437,1
43.614,17.300,43.614,0.034,21.7644,6.7418,6.7418,1,1,1,1.7423,0.4365,1
43.714,17.400,43.709,-4.985,21.7644,6.7047,6.7047,1,1,1,1.5621,0.4237,1
43.814,17.500,43.814,0.016,21.7644,,,1,0,0,,,1
43.914,17.600,43.909,-4.916,21.7644,6.6397,6.6397,1,1,1,-0.0000,0.3725,1
44.014,17.700,44.009,-4.888,21.4444,6.6067,6.6067,1,1,1,1.5166,0.3669,1
44.114,17.800,44.114,0.093,21.4444,6.5527,6.5527,1,1,1,1.6160,0.4125,1
44.214,17.900,44.209,-4.984,21.4444,6.5047,6.5047,1,1,1,0.0002,0.4380,1
44.314,18.000,44.314,-0.001,21.4444,6.4508,6.4508,1,1,1,0.0000,0.4657,1
